id,value
1488844
1488844.Isle of Man TT 2004 Review,299.9959105280491
1488844.Character,288.3022072009527
1488844.Paula Abdul's Get Up & Dance,363.3758221257834
1488844.The Rise and Fall of ECW,301.45569231342967
1488844.Sick,371.35986615205513
1488844.8 Man,184.78581710114176
1488844.What the #$*! Do We Know!?,172.2344511377396
1488844.Class of Nuke 'Em High 2,250.09855387849836
1488844.Fighter,317.33582343456266
1488844.Full Frame: Documentary Shorts,276.31352935010904
1488844.My Favorite Brunette,316.10804159515493
1488844.Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,351.4798887508544
1488844.Nature: Antarctica,365.7238596753249
1488844.Neil Diamond: Greatest Hits Live,226.53196144142257
1488844.Screamers,328.23029418360295
1488844.7 Seconds,266.38149514453414
1488844.Immortal Beloved,333.206408258211
1488844.By Dawn's Early Light,309.49904196661447
1488844.Seeta Aur Geeta,358.13011692273443
1488844.Strange Relations,265.85403189249206
1488844.Chump Change,306.465188026287
1488844.Clifford: Clifford Saves the Day! / Clifford's Fluffiest Friend Cleo,180.1135796060665
1488844.My Bloody Valentine,303.0822787428705
1488844.Inspector Morse 31: Death Is Now My Neighbour,287.10927871701364
1488844.Never Die Alone,367.4546831738826
1488844.Sesame Street: Elmo's World: The Street We Live On,191.96689394055596
1488844.Lilo and Stitch,327.146851608021
1488844.Boycott,335.81262327036285
1488844.Something's Gotta Give,351.5713099160578
1488844.Classic Albums: Meat Loaf: Bat Out of Hell,341.43748352763214
1488844.ABC Primetime: Mel Gibson's The Passion of the Christ,315.5733747162766
1488844.Aqua Teen Hunger Force: Vol: 1,318.3519044191548
1488844.Ashtanga Yoga: Beginner's Practice with Nicki Doane,319.255485808511
1488844.Ferngully 2: The Magical Rescue,196.65675648512948
822109
822109.Isle of Man TT 2004 Review,499.99318410117286
822109.Character,512.8805337149636
822109.Paula Abdul's Get Up & Dance,630.0725144232422
822109.The Rise and Fall of ECW,508.75636170186345
822109.Sick,630.3992830163293
822109.8 Man,316.12018076565784
822109.What the #$*! Do We Know!?,316.99620025162943
822109.Class of Nuke 'Em High 2,456.82785109276836
822109.Fighter,529.1664747352936
822109.Full Frame: Documentary Shorts,445.2339260733301
822109.My Favorite Brunette,514.7983546468763
822109.Lord of the Rings: The Return of the King: Extended Edition: Bonus Material,587.8738757636929
822109.Nature: Antarctica,612.3372176668688
822109.Neil Diamond: Greatest Hits Live,412.21045705814845
822109.Screamers,541.2533601134976
822109.7 Seconds,448.545068955492
822109.Immortal Beloved,558.0110703995276
822109.By Dawn's Early Light,517.9813805996686
822109.Seeta Aur Geeta,598.7913580559542
822109.Strange Relations,432.46141506636303
822109.Chump Change,511.4511555127313
