id,value
Isle of Man TT 2004 Review
Isle of Man TT 2004 Review.1488844.Isle of Man TT 2004 Review,307.1322486894309
Isle of Man TT 2004 Review.822109.Isle of Man TT 2004 Review,499.5000016114294
Isle of Man TT 2004 Review.885013.Isle of Man TT 2004 Review,395.6564968754904
Isle of Man TT 2004 Review.2059652.Isle of Man TT 2004 Review,484.48485473207904
Isle of Man TT 2004 Review.1666394.Isle of Man TT 2004 Review,335.9590251013552
Isle of Man TT 2004 Review.1759415.Isle of Man TT 2004 Review,456.3314646738462
Isle of Man TT 2004 Review.1025579.Isle of Man TT 2004 Review,259.4042309109285
Isle of Man TT 2004 Review.712664.Isle of Man TT 2004 Review,211.67195436045026
Isle of Man TT 2004 Review.1331154.Isle of Man TT 2004 Review,277.1878905291492
Isle of Man TT 2004 Review.1065039.Isle of Man TT 2004 Review,202.53812400419332
Isle of Man TT 2004 Review.1544320.Isle of Man TT 2004 Review,167.82749329089435
Isle of Man TT 2004 Review.410199.Isle of Man TT 2004 Review,385.10304955957776
Isle of Man TT 2004 Review.1745265.Isle of Man TT 2004 Review,395.89536384764494
Isle of Man TT 2004 Review.1997470.Isle of Man TT 2004 Review,388.7047773108619
Isle of Man TT 2004 Review.2031561.Isle of Man TT 2004 Review,393.78144642799737
Isle of Man TT 2004 Review.1176140.Isle of Man TT 2004 Review,195.76319021918397
Isle of Man TT 2004 Review.2336133.Isle of Man TT 2004 Review,302.70835659096196
Isle of Man TT 2004 Review.951709.Isle of Man TT 2004 Review,162.73112196477342
Isle of Man TT 2004 Review.585247.Isle of Man TT 2004 Review,73.35067078410425
Isle of Man TT 2004 Review.2625420.Isle of Man TT 2004 Review,140.38668569201923
Isle of Man TT 2004 Review.824097.Isle of Man TT 2004 Review,246.61193628564325
Isle of Man TT 2004 Review.2630686.Isle of Man TT 2004 Review,395.81480388599886
Isle of Man TT 2004 Review.644003.Isle of Man TT 2004 Review,232.9273817980031
Isle of Man TT 2004 Review.1329923.Isle of Man TT 2004 Review,322.230830358632
Isle of Man TT 2004 Review.2472537.Isle of Man TT 2004 Review,246.18329835954964
Isle of Man TT 2004 Review.403531.Isle of Man TT 2004 Review,555.8236760422425
Isle of Man TT 2004 Review.699878.Isle of Man TT 2004 Review,185.12798722785263
Isle of Man TT 2004 Review.1874659.Isle of Man TT 2004 Review,482.08336359376
Isle of Man TT 2004 Review.862759.Isle of Man TT 2004 Review,391.35368510689796
Isle of Man TT 2004 Review.1166950.Isle of Man TT 2004 Review,130.11453145000775
Isle of Man TT 2004 Review.669077.Isle of Man TT 2004 Review,198.3557962894953
Isle of Man TT 2004 Review.1109700.Isle of Man TT 2004 Review,425.71415603154134
Isle of Man TT 2004 Review.1056998.Isle of Man TT 2004 Review,536.4023965970009
Isle of Man TT 2004 Review.903692.Isle of Man TT 2004 Review,321.2396993789807
Isle of Man TT 2004 Review.140274.Isle of Man TT 2004 Review,395.70354848749815
Isle of Man TT 2004 Review.2171849.Isle of Man TT 2004 Review,372.27859376356287
Isle of Man TT 2004 Review.776067.Isle of Man TT 2004 Review,326.0529416982794
Isle of Man TT 2004 Review.1076258.Isle of Man TT 2004 Review,305.3664297450068
Isle of Man TT 2004 Review.1663216.Isle of Man TT 2004 Review,299.0977166802886
Isle of Man TT 2004 Review.549526.Isle of Man TT 2004 Review,328.89066511725514
Isle of Man TT 2004 Review.243437.Isle of Man TT 2004 Review,436.3846494778369
Isle of Man TT 2004 Review.862622.Isle of Man TT 2004 Review,351.06901357906787
